1.275, 0.9, 1
1.575, 1.3, 1
1.325, 1.35, 1
1.225, 1.2, 1
1.625, 1.25, 1
1.775, 1.4, 1
1.975, 1.7, 1
2.025, 1.75, 1
2.275, 2.35, 1
2.275, 2.45, 1
2.325, 2.7, 1
2.625, 2.75, 1
2.975, 2.9, 1
3.125, 3, 1
3.475, 3.25, 1
3.475, 3.45, 1
3.825, 4, 1
4.275, 4.3, 1
5.125, 4.55, 1
5.775, 4.6, 1
7.425, 4.35, 1
9.525, 3.8, 1
9.025, 4.15, 1
8.575, 4.15, 1
7.975, 4.15, 1
5.975, 4.45, 1
4.525, 4.45, 1
6.225, 4.45, 1
8.175, 4.2, 1
8.975, 4, 1
9.275, 4, 1
9.525, 4, 1
9.875, 4.15, 1
10.025, 4.55, 1
10.025, 5.1, 1
10.025, 5.9, 1
10.025, 6.25, 1
10.075, 6.85, 1
10.175, 7.35, 1
10.225, 7.6, 1
10.325, 8, 1
10.725, 8.6, 1
11.175, 9.25, 1
11.375, 9.7, 1
11.575, 10.15, 1
11.775, 10.6, 1
11.975, 11.05, 1
12.125, 11.85, 1
12.225, 12.2, 1
12.375, 12.55, 1
12.425, 12.8, 1
12.625, 13, 1
13.025, 13, 1
13.275, 13, 1
13.625, 12.9, 1
13.975, 12.55, 1
14.125, 12.75, 1
14.725, 12.9, 1
15.925, 12.6, 1
15.075, 12.7, 1
15.725, 12.75, 1
15.925, 12.75, 1
16.425, 12.45, 1
16.425, 12.45, 1
16.975, 11.75, 1
17.425, 10.65, 1
18.425, 9.35, 1
20.575, 9.95, 1
24.375, 10.35, 1
22.975, 8.95, 1
26.325, 7.8, 1
25.375, 6.35, 1
26.975, 5.85, 1
23.125, 8.85, 1
23.225, 8.8, 1
23.975, 7.9, 1
23.975, 7.8, 1
23.725, 8.65, 1
23.975, 8.2, 1
24.375, 7.65, 1
24.475, 7.55, 1
24.875, 7.2, 1
24.925, 7.1, 1
25.475, 6.6, 1
26.375, 6.1, 1
26.575, 6.1, 1
27.425, 5.8, 1
27.875, 5.5, 1
28.225, 5.2, 1
28.675, 5.05, 1
29.825, 4.9, 1
30.325, 5.15, 1
30.325, 5.35, 1
30.425, 5.65, 1
30.425, 5.9, 1
30.425, 6.05, 1
30.675, 6.2, 1
31.275, 6.4, 1
31.775, 6.4, 1
32.725, 6.4, 1
32.775, 6.4, 1
33.075, 6.75, 1
33.125, 6.9, 1
33.325, 7.4, 1
33.525, 7.55, 1
33.675, 7.6, 1
34.375, 7.6, 1
34.525, 6.8, 1
34.875, 5.95, 1
35.025, 5.65, 1
35.225, 5.4, 1
35.475, 5.1, 1
35.675, 4.65, 1
35.825, 4.15, 1
35.825, 3.9, 1
35.875, 3.9, 1
36.225, 4.05, 1
36.725, 4.35, 1
36.975, 4.4, 1
37.275, 4.45, 1
37.825, 4, 1
37.725, 3.25, 1
37.925, 2.95, 1
38.175, 2.5, 1
38.325, 2.45, 1
38.925, 2, 1
38.925, 2, 1
39.175, 2.5, 1
39.175, 2.6, 1
39.225, 3.2, 1
39.375, 3.55, 1
39.375, 4.05, 1
39.525, 4.6, 1
39.675, 4.75, 1
39.775, 5.1, 1
39.775, 5.45, 1
39.875, 5.8, 1
39.875, 6.6, 1
39.875, 7, 1
39.875, 7.25, 1
39.875, 7.85, 1
39.975, 8.4, 1
40.075, 8.45, 1
40.425, 8.45, 1
40.775, 8.5, 1
40.825, 8.65, 1
40.975, 8.85, 1
41.175, 8.95, 1
41.475, 8.95, 1
41.525, 8.9, 1
41.675, 8.45, 1
41.925, 8, 1
42.625, 7.6, 1
42.775, 7.5, 1
43.125, 7.05, 1
43.275, 6.45, 1
43.875, 5.95, 1
43.775, 5.65, 1
43.675, 5.1, 1
43.675, 4.8, 1
43.675, 4.5, 1
43.925, 3.95, 1
43.625, 6.15, 1
21.925, 9.5, 1
21.375, 9.5, 1
20.325, 9.5, 1
16.825, 12.1, 1
17.175, 11.45, 1
17.725, 10.5, 1
17.925, 9.9, 1
18.925, 9.55, 1
19.575, 9.7, 1
20.525, 9.6, 1
21.975, 9.6, 1
17.775, 10.85, 1
17.525, 11.65, 1
17.525, 10.65, 1
17.525, 10.65, 1
18.425, 10.35, 1
19.225, 9.75, 1
22.425, 9.5, 1
22.475, 9.5, 1
23.425, 8.85, 1
23.775, 8.6, 1
24.225, 8, 1
24.425, 7.65, 1
29.675, 5.15, 1
29.675, 5.15, 1
37.075, 3.5, 1
